Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Violation Time,Violation County,From Hours In Effect,To Hours In Effect,Vehicle Color,Vehicle Year,Meter Number,Violation Post Code,Violation Description
T712028C,NY,OMT,12/7/2016,36,4DSD,HONDA,1245P,QN,,,GY,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
HFX1696,NY,OMS,12/7/2016,38,SUBN,DODGE,0926A,K,0900A,0700P,BK,2016,,05 3,38-Failure to Display Muni Rec
GLG9869,NY,PAS,12/1/2016,36,SUBN,BMW,1154A,BK,,,BK,2017,,,PHTO SCHOOL ZN SPEED VIOLATION
FXM6907,NY,PAS,12/20/2016,31,SUBN,ROVER,0803A,NY,0700A,0600P,WH,2012,,22,31-No Stand (Com. Mtr. Zone)
36743PC,NY,IRP,12/12/2016,69,TK,FRUEH,0302P,NY,0700A,0700P,WH,2014,,99 6,69-Failure to Disp Muni Recpt
HDW5216,NY,PAS,12/27/2016,38,4DSD,MAZDA,1243P,Q,0730A,0700P,BL,2016,,42 4,38-Failure to Display Muni Rec
HKE2746,NY,PAS,12/1/2016,70,SUBN,CHRYS,0433P,BX,,,WHITE,2015,,Z2 2,70A-Reg. Sticker Expired (NYS)
GGC4175,NY,PAS,12/30/2016,40,4DSD,ME/BE,1101A,NY,,,BK,2015,,58 7,40-Fire Hydrant
T644445C,NY,OMT,12/6/2016,21,SUBN,CHEVR,1109A,Q,1100A,1230A,BK,2013,,W 41,21-No Parking (street clean)
GZJ9098,NY,PAS,12/18/2016,71,4DSD,FORD,1026A,NY,,,BK,2016,,J 77,71A-Insp Sticker Expired (NYS)
GDR3369,NY,PAS,12/18/2016,20,SUBN,HONDA,0157P,K,,,GREY,2013,,46 3,20A-No Parking (Non-COM)
HGZ9663,NY,PAS,12/22/2016,68,4DSD,HONDA,0712A,K,,,BK,2014,,Q 31,68-Not Pkg. Comp. w Psted Sign
HKN9685,NY,PAS,12/28/2016,38,SUBN,JEEP,1007A,K,0900A,0700P,BL,2016,,59 3,38-Failure to Display Muni Rec
HEH6335,NY,PAS,12/16/2016,38,4DSD,BMW,1005A,Q,0900A,1000P,WH,2013,,05 4,38-Failure to Display Muni Rec
HMV5265,NY,PAS,12/13/2016,21,4DSD,CHEVR,0841A,Q,0830A,1000A,BLUE,2017,,30 4,21-No Parking (street clean)
CXF3197,NY,PAS,12/11/2016,7,4DSD,NISSA,0624P,QN,,,RD,2015,,,FAILURE TO STOP AT RED LIGHT
HAC1067,NY,PAS,12/7/2016,38,PICK,FORD,0359P,BX,0830A,0700P,BK,2015,,22 2,38-Failure to Display Muni Rec
Y17EUE,FL,PAS,12/13/2016,36,UT,DODGE,1014A,BX,,,PLE,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
GDX5559,NY,PAS,12/2/2016,38,4DSD,NISSA,0530P,Q,0800A,0700P,BK,2016,,26 4,38-Failure to Display Muni Rec
61953,NY,MED,12/15/2016,21,4DSD,TOYOT,0935A,K,0830A,1000A,BK,2015,,S 32,21-No Parking (street clean)
HKW5651,NY,PAS,12/3/2016,37,SUBN,HONDA,0215P,NY,0900A,0700P,BLACK,2016,120-8026,14 7,37-Expired Muni Meter
EBN6587,NY,PAS,12/16/2016,38,4DSD,TOYOT,1210P,Q,0800A,1000P,WH,2015,,36 4,38-Failure to Display Muni Rec
GPK1230,NY,PAS,12/16/2016,21,4DSD,TOYOT,0938A,BX,0900A,1030A,RD,2013,,17 2,21-No Parking (street clean)
HGM8140,NY,PAS,12/12/2016,46,4DSD,NISSA,0852A,BX,,,BK,2015,,J 21,46A-Double Parking (Non-COM)
HAM4747,NY,PAS,12/8/2016,36,2DSD,ME/BE,0221P,BK,,,GY,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
HFF7917,NY,PAS,12/27/2016,21,4DSD,HONDA,1144A,K,1130A,0100P,BK,2012,,01 3,21-No Parking (street clean)
HEB2394,NY,PAS,12/6/2016,21,PICK,FORD,1026A,K,0930A,1100A,BK,2015,,15 3,21-No Parking (street clean)
GBBL79,FL,PAS,12/20/2016,36,TK,TOYOT,0102P,QN,,,SIL,2013,,,PHTO SCHOOL ZN SPEED VIOLATION
HHC6495,NY,PAS,12/12/2016,36,4DSD,HONDA,0814A,BK,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
WWH32L,NJ,PAS,12/23/2016,36,WAGO,CHEVR,1236P,MN,,,GY,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
T725424C,NY,OMT,12/23/2016,31,4DSD,TOYOT,0214P,NY,0800A,0600P,BK,2015,,62,31-No Stand (Com. Mtr. Zone)
FEH8579,NY,PAS,12/13/2016,21,SUBN,LEXUS,1043A,K,0930A,1100A,BK,2015,,B2 3,21-No Parking (street clean)
HJP6271,NY,PAS,12/15/2016,37,4DSD,BMW,1110A,Q,0830A,0700P,BK,2015,408-1902,14 4,37-Expired Muni Meter
GUP4639,NY,PAS,12/28/2016,14,SUBN,HONDA,0300P,K,ALL,ALL,SILVE,2012,-,,
HCT1688,NY,PAS,12/22/2016,21,SDN,SUBAR,0856A,NY,0830A,1000A,BLUE,2015,-,,
HGZ3260,NY,PAS,12/22/2016,38,SUBN,TOYOT,0510P,K,0800A,0700P,BK,2016,,24 3,38-Failure to Display Muni Rec
6ATWP6,CT,PAS,12/1/2016,36,4D,SUBAR,0936A,QN,,,GRY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
GRE1437,NY,PAS,12/27/2016,38,SUBN,JEEP,1142A,NY,0800A,0700P,GY,2016,,44 1,38-Failure to Display Muni Rec
BYK8013,NY,PAS,12/19/2016,36,4DSD,NISSA,1236P,BX,,,GY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HHV1248,NY,PAS,12/9/2016,38,SUBN,AUDI,0118P,K,0900A,0700P,WH,2012,,35 3,38-Failure to Display Muni Rec
HCW7645,NY,PAS,12/1/2016,71,SUBN,HONDA,0220P,Q,,,GY,2016,,32 4,71A-Insp Sticker Expired (NYS)
GXU2172,NY,PAS,12/15/2016,21,4DSD,TOYOT,1139A,Q,1130A,0100P,BL,2016,,52-A,21-No Parking (street clean)
XCHN40,NJ,PAS,12/2/2016,5,TRK,DODGE,0431P,MN,,,RD BK,2014,,,BUS LANE VIOLATION
GKU3283,NY,PAS,12/3/2016,37,SUBN,HONDA,0101P,K,0900A,0700P,GY,2016,301-3007,05 3,37-Expired Muni Meter
HCR6016,NY,PAS,12/17/2016,7,SUBN,CADIL,0317P,QN,,,BK,2016,,,FAILURE TO STOP AT RED LIGHT
96167MA,NY,COM,12/8/2016,19,VAN,FRUEH,0103P,BX,,,BROWN,2012,,20 2,19-No Stand (bus stop)
HFL9489,NY,PAS,12/8/2016,19,SUBN,FORD,1213P,BX,,,BL,2016,,48 2,19-No Stand (bus stop)
